movie_id,title,avg_rating
148,"Ghost and the Darkness, The (1996)",3.203125
463,"Secret of Roan Inish, The (1994)",3.859154929577465
471,Courage Under Fire (1996),3.6108597285067874
496,It's a Wonderful Life (1946),4.121212121212121
833,Bulletproof (1996),3.204081632653061
1088,Double Team (1997),2.230769230769231
1238,Full Speed (1996),3.125
1342,"Convent, The (Convento, O) (1995)",2.5
1580,Liebelei (1933),1.0
1591,Duoluo tianshi (1995),3.1666666666666665
1645,"Butcher Boy, The (1998)",4.0
243,Jungle2Jungle (1997),2.4393939393939394
392,"Man Without a Face, The (1993)",3.5441176470588234
540,Money Train (1995),2.511627906976744
623,Angels in the Outfield (1994),2.923076923076923
737,Sirens (1994),2.983050847457627
858,Amityville: Dollhouse (1996),1.0
897,Time Tracers (1995),1.5
1025,Fire Down Below (1997),2.9318181818181817
1084,Anne Frank Remembered (1995),3.857142857142857
1127,"Truman Show, The (1998)",2.909090909090909
1395,Hurricane Streets (1998),2.3333333333333335
1460,Sleepover (1995),3.0
1483,"Man in the Iron Mask, The (1998)",3.4166666666666665
1507,Three Lives and Only One Death (1996),3.0
1522,Trial by Jury (1994),2.4285714285714284
31,Crimson Tide (1995),3.6298701298701297
516,Local Hero (1983),3.9682539682539684
1139,Hackers (1995),2.606060606060606
1143,Hard Eight (1996),4.0
1270,Life with Mikey (1993),2.2857142857142856
1303,"Getaway, The (1994)",2.3333333333333335
1322,Metisse (Caf� au Lait) (1993),2.3333333333333335
1339,Stefano Quantestorie (1993),1.0
1352,Shadow of Angels (Schatten der Engel) (1976),1.0
1618,King of New York (1990),1.0
1650,"Butcher Boy, The (1998)",4.0
85,"Ref, The (1994)",3.0344827586206895
137,Big Night (1996),3.9005847953216373
251,Shall We Dance? (1996),4.260869565217392
451,Grease (1978),3.347058823529412
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375
808,"Program, The (1993)",2.838709677419355
1265,Star Maps (1997),3.0526315789473686
65,What's Eating Gilbert Grape (1993),3.5391304347826087
458,Nixon (1995),3.1222222222222222
879,"Peacemaker, The (1997)",3.2720588235294117
883,Telling Lies in America (1997),3.230769230769231
1223,King of the Hill (1993),3.5
53,Natural Born Killers (1994),2.953125
255,My Best Friend's Wedding (1997),3.36046511627907
481,"Apartment, The (1960)",3.9365079365079363
588,Beauty and the Beast (1991),3.792079207920792
799,Boys Life (1995),3.2
804,Jimmy Hollywood (1994),2.875
898,"Postman, The (1997)",3.2241379310344827
970,Hear My Song (1991),3.25
1157,"Relic, The (1997)",2.88
133,Gone with the Wind (1939),3.871345029239766
296,"Promesse, La (1996)",3.3333333333333335
472,Dragonheart (1996),3.0822784810126582
853,Braindead (1992),3.857142857142857
1466,Margaret's Museum (1995),4.0
78,Free Willy (1993),2.4545454545454546
322,Murder at 1600 (1997),3.0871559633027523
513,"Third Man, The (1949)",4.333333333333333
918,City of Angels (1998),3.0
1005,"Double vie de V�ronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817
1016,Con Air (1997),3.45985401459854
1133,Escape to Witch Mountain (1975),2.966666666666667
321,Mother (1996),3.1301775147928996
362,Blues Brothers 2000 (1998),2.8214285714285716
613,My Man Godfrey (1936),4.037037037037037
633,"Christmas Carol, A (1938)",4.057971014492754
673,Cape Fear (1962),3.5232558139534884
857,Paris Was a Woman (1995),3.0
961,Orlando (1993),3.6176470588235294
974,Eye for an Eye (1996),3.03125
1160,Love! Valour! Compassion! (1997),3.6153846153846154
1533,I Don't Want to Talk About It (De eso no se habla) (1993),4.0
375,Showgirls (1995),1.9565217391304348
593,Stalingrad (1993),3.1666666666666665
597,Eraser (1996),3.150485436893204
876,Money Talks (1997),2.702127659574468
976,Solo (1996),1.8333333333333333
1199,Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304
1212,Flesh and Bone (1993),2.8333333333333335
1417,"Turning, The (1992)",2.5
1468,"Cure, The (1995)",3.3333333333333335
1653,Entertaining Angels: The Dorothy Day Story (1996),5.0
108,Kids in the Hall: Brain Candy (1996),3.076923076923077
155,Dirty Dancing (1987),3.1020408163265305
683,Rocket Man (1997),2.4081632653061225
744,Michael Collins (1996),3.4565217391304346
950,Georgia (1995),2.9
1331,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",3.0
1525,"Object of My Affection, The (1998)",4.0
1561,Tigrero: A Film That Was Never Made (1994),1.0
34,"Doom Generation, The (1995)",2.7142857142857144
193,"Right Stuff, The (1983)",3.917197452229299
211,M*A*S*H (1970),3.912621359223301
368,Bio-Dome (1996),1.903225806451613
530,"Man Who Would Be King, The (1975)",4.025
642,"Grifters, The (1990)",3.4831460674157304
796,Speechless (1994),3.0833333333333335
1068,"Star Maker, The (Uomo delle stelle, L') (1995)",3.1666666666666665
1198,Purple Noon (1960),3.142857142857143
1344,"Story of Xinghua, The (1993)",3.2
1404,Withnail and I (1987),3.230769230769231
1537,Cosi (1996),4.0
1675,"Sunchaser, The (1996)",3.0
101,Heavy Metal (1981),3.26027397260274
115,"Haunted World of Edward D. Wood Jr., The (1995)",3.7333333333333334
126,"Spitfire Grill, The (1996)",3.804123711340206
756,Father of the Bride Part II (1995),2.8984375
772,Kids (1995),3.061224489795918
1165,Big Bully (1996),1.8571428571428572
1183,"Cowboy Way, The (1994)",2.210526315789474
1378,Rhyme & Reason (1997),2.2
1500,Santa with Muscles (1996),5.0
81,"Hudsucker Proxy, The (1994)",3.5545454545454547
385,True Lies (1994),3.5625
830,Power 98 (1995),1.0
847,Looking for Richard (1996),3.727272727272727
874,Career Girls (1997),3.2564102564102564
939,Murder in the First (1995),3.6
1226,Night Falls on Manhattan (1997),3.375
1259,Pie in the Sky (1995),2.0
28,Apollo 13 (1995),3.931159420289855
183,Alien (1979),4.034364261168385
210,Indiana Jones and the Last Crusade (1989),3.930513595166163
436,"American Werewolf in London, An (1981)",3.5353535353535355
