user_id,age,gender,occupation,zip_code
619,17,M,student,44134
620,18,F,writer,81648
541,19,F,student,84302
859,18,F,other,06492
367,17,M,student,37411
341,17,F,student,44405
257,17,M,student,77005
36,19,F,student,93117
375,17,M,entertainment,37777
101,15,M,student,05146
303,19,M,student,14853
925,18,F,salesman,49036
291,19,M,student,44106
206,14,F,student,53115
223,19,F,student,47906
30,7,M,student,55436
393,19,M,student,83686
110,19,M,student,77840
618,15,F,student,44212
347,18,M,student,90210
528,18,M,student,55104
813,14,F,student,02136
880,13,M,student,83702
434,16,F,student,49705
451,16,M,student,48446
849,15,F,student,25652
631,18,F,student,38866
580,16,M,student,17961
270,18,F,student,63119
761,17,M,student,97302
320,19,M,student,24060
52,18,F,student,55105
646,17,F,student,51250
624,19,M,student,30067
281,15,F,student,06059
453,18,M,student,06333
461,15,M,student,98102
142,13,M,other,48118
550,16,F,student,95453
747,19,M,other,93612
67,17,M,student,60402
632,18,M,student,55454
68,19,M,student,22904
621,17,M,student,60402
729,19,M,student,56567
462,19,F,student,02918
904,17,F,student,61073
507,18,F,writer,28450
57,16,M,none,84010
289,11,M,none,94619
863,17,M,student,60089
592,18,M,student,97520
521,19,M,student,02146
368,18,M,student,92113
817,19,M,student,60152
179,15,M,entertainment,20755
642,18,F,student,95521
397,17,M,student,27514
628,13,M,none,94306
588,18,F,student,93063
887,14,F,student,27249
482,18,F,student,40256
471,10,M,student,77459
221,19,M,student,20685
872,19,F,student,74078
851,18,M,other,29646
787,18,F,student,98620
258,19,F,student,77801
262,19,F,student,78264
710,19,M,student,92020
674,13,F,student,55337
700,17,M,student,76309
246,19,M,student,28734
609,13,F,student,55106
582,17,M,student,93003
601,19,F,artist,99687
425,19,M,student,58644
